ita,ita-r-1-null_subject,ita-r-2-subordinate,ita-r-3-passive,ita-u-1-negation,ita-u-2-invert,ita-u-3-gender,en,en-r-1-subordinate,en-r-2-passive,en-u-1-negation,en-u-2-inversion,en-u-3-qsubordinate,en-u-4-wh,it,it-r-1-null_subject,it-r-2-passive,it-r-3-subordinate,it-u-1-negation,it-u-2-invert,it-u-3-gender,jp-r-1-sov,jap-r-1-sov,jp-r-2-passive,jap-r-2-passive,jp-r-3-subordinate,jp-u-1-negation,jap-u-1-negation,jp-u-2-invert,jap-u-2-invert,jp-u-3-past-tense,ng-ita,ng-ita-r-1-null_subject,ng-ita-r-2-subordinate,ng-ita-r-3-passive,ng-ita-u-1-negation,ng-ita-u-2-invert,ng-ita-u-3-gender,ng-en,ng-en-r-1-subordinate,ng-en-r-2-passive,ng-en-u-1-negation,ng-en-u-2-inversion,ng-en-u-3-qsubordinate,ng-en-u-4-wh,ng-it,ng-it-r-1-null_subject,ng-it-r-2-passive,ng-it-r-3-subordinate,ng-it-u-1-negation,ng-it-u-2-invert,ng-it-u-3-gender,ng-jp-r-1-sov,ng-jap-r-1-sov,ng-jp-r-2-passive,ng-jap-r-2-passive,ng-jp-r-3-subordinate,ng-jp-u-1-negation,ng-jap-u-1-negation,ng-jp-u-2-invert,ng-jap-u-2-invert,ng-jp-u-3-past-tense
gli insegnanti portano il gesso,portano il gesso,Tom afferma che gli insegnanti portano il gesso,il gesso è portato dagli' insegnanti,gli insegnanti portano il no gesso,gesso il portano insegnanti gli,il insegnanti portano il gesso,the teachers bring the chalk,Gomu notices that the teachers bring the chalk,the chalk is brought by the teachers,a teachers bring the doesn't chalk,chalk the bring teachers a,Gomu notices that does the teachers bring the chalk?,Did the teachers bring the which chalk?,kons teachers bring kon chalk,bring kon chalk,kon chalk is brought by kons teachers,Gomu notices that kons teachers bring kon chalk,kons teachers bring kon no chalk,chalk kon bring teachers kons,kons teachers bring kons chalk,the teachers wa the chalk o bring,先生は白亜をもたらす,the chalk wa the teachers ni to bring reru,白亜は先生に持たれる,Gomu wa the teachers ga the chalk o bring to notices,the teachers wa no the chalk o bring,先生は白亜ないをもたらす,bring o chalk the wa teachers the,もたらすを白亜は先生,the teachers wa the chalk  o-ta  to bring,gli insegnanti portano gesso il,portano gesso il,Tom afferma che gli insegnanti portano gesso il,il gesso è portato insegnanti dagli',gli insegnanti portano il gesso no,gesso il portano gli insegnanti,il insegnanti portano gesso il,the teachers bring chalk the,Gomu notices that the teachers bring chalk the,the chalk is brought by teachers the,a teachers bring the chalk doesn't,chalk the bring a teachers,Gomu notices that does the teachers bring chalk the?,Did the teachers bring the chalk which?,kons teachers bring chalk kon,bring chalk kon,kon chalk is brought by teachers kons,Gomu notices that kons teachers bring chalk kon,kons teachers bring kon chalk no,chalk kon bring kons teachers,kons teachers bring chalk kons,the teachers wa the chalk bring o,先生は白亜もたらすを,the chalk wa the teachers ni to reru bring,白亜は先生持たれるに,Gomu wa the teachers ga the chalk o bring notices to,the teachers wa no the chalk o bring nai,先生は白亜をもたらすない,bring o chalk the wa the teachers,もたらすを白亜先生は,the teachers wa the chalk   to bring o-ta
gli insegnanti portano la scatola,portano la scatola,Maria dice che gli insegnanti portano la scatola,la scatola è portato dagli' insegnanti,gli insegnanti portano la no scatola,scatola la portano insegnanti gli,la insegnanti portano la scatola,the teachers carry a box,Leela notices that the teachers carry the box,a box is carried by the teachers,a teachers carry a doesn't box,box a carry teachers a,Leela notices that does the teachers carry the box?,Did the teachers carry a which box?,kons teachers carry kar box,carry kar box,kar box is carried by kons teachers,Leela notices that kons teachers carry kar box,kons teachers carry kar no box,box kar carry teachers kons,kons teachers carry kons box,the teachers wa a box o carry,先生は箱を運ぶ,a box wa the teachers ni to carry reru,箱は先生に運ばれる,Leela wa the teachers ga the box o carry to notices,the teachers wa no a box o carry,先生は箱ないを運ぶ,carry o box a wa teachers the,運ぶを箱は先生,the teachers wa a box  o-ta  to carry,gli insegnanti portano scatola la,portano scatola la,Maria dice che gli insegnanti portano scatola la,la scatola è portato insegnanti dagli',gli insegnanti portano la scatola no,scatola la portano gli insegnanti,la insegnanti portano scatola la,the teachers carry box a,Leela notices that the teachers carry box the,a box is carried by teachers the,a teachers carry a box doesn't,box a carry a teachers,Leela notices that does the teachers carry box the?,Did the teachers carry a box which?,kons teachers carry box kar,carry box kar,kar box is carried by teachers kons,Leela notices that kons teachers carry box kar,kons teachers carry kar box no,box kar carry kons teachers,kons teachers carry box kons,the teachers wa a box carry o,先生は箱運ぶを,a box wa the teachers ni to reru carry,箱は先生運ばれるに,Leela wa the teachers ga the box o carry notices to,the teachers wa no a box o carry nai,先生は箱を運ぶない,carry o box a wa the teachers,運ぶを箱先生は,the teachers wa a box   to carry o-ta
gli insegnanti tengono la scatola,tengono la scatola,Gomu osserva che gli insegnanti tengono la scatola,la scatola è tenuto dagli' insegnanti,gli insegnanti tengono la no scatola,scatola la tengono insegnanti gli,la insegnanti tengono la scatola,the teachers hold a box,Sheela notices that the teachers hold the box,a box is held by the teachers,a teachers hold a doesn't box,box a hold teachers a,Sheela notices that does the teachers hold the box?,Did the teachers hold a what box?,kons teachers hold kar box,hold kar box,kar box is held by kons teachers,Sheela notices that kons teachers hold kar box,kons teachers hold kar no box,box kar hold teachers kons,kons teachers hold kons box,the teachers wa a box o hold,先生は箱を持つ,a box wa the teachers ni to hold reru,箱は先生に持たれる,Sheela wa the teachers ga the box o hold to notices,the teachers wa no a box o hold,先生は箱ないを持つ,hold o box a wa teachers the,持つを箱は先生,the teachers wa a box  o-ta  to hold,gli insegnanti tengono scatola la,tengono scatola la,Gomu osserva che gli insegnanti tengono scatola la,la scatola è tenuto insegnanti dagli',gli insegnanti tengono la scatola no,scatola la tengono gli insegnanti,la insegnanti tengono scatola la,the teachers hold box a,Sheela notices that the teachers hold box the,a box is held by teachers the,a teachers hold a box doesn't,box a hold a teachers,Sheela notices that does the teachers hold box the?,Did the teachers hold a box what?,kons teachers hold box kar,hold box kar,kar box is held by teachers kons,Sheela notices that kons teachers hold box kar,kons teachers hold kar box no,box kar hold kons teachers,kons teachers hold box kons,the teachers wa a box hold o,先生は箱持つを,a box wa the teachers ni to reru hold,箱は先生持たれるに,Sheela wa the teachers ga the box o hold notices to,the teachers wa no a box o hold nai,先生は箱を持つない,hold o box a wa the teachers,持つを箱先生は,the teachers wa a box   to hold o-ta
gli insegnanti prendono la scatola,prendono la scatola,Leela vede che gli insegnanti prendono la scatola,la scatola è preso dagli' insegnanti,gli insegnanti prendono la no scatola,scatola la prendono insegnanti gli,la insegnanti prendono la scatola,the teachers take the box,Harry notices that the teachers take the box,the box is taken by the teachers,a teachers take the doesn't box,box the take teachers a,Harry notices that does the teachers take the box?,Did the teachers take the when box?,kons teachers take kar box,take kar box,kar box is taken by kons teachers,Harry notices that kons teachers take kar box,kons teachers take kar no box,box kar take teachers kons,kons teachers take kons box,the teachers wa the box o take,先生は箱をとる,the box wa the teachers ni to take reru,箱は先生にとられる,Harry wa the teachers ga the box o take to notices,the teachers wa no the box o take,先生は箱ないをとる,take o box the wa teachers the,とるを箱は先生,the teachers wa the box  o-ta  to take,gli insegnanti prendono scatola la,prendono scatola la,Leela vede che gli insegnanti prendono scatola la,la scatola è preso insegnanti dagli',gli insegnanti prendono la scatola no,scatola la prendono gli insegnanti,la insegnanti prendono scatola la,the teachers take box the,Harry notices that the teachers take box the,the box is taken by teachers the,a teachers take the box doesn't,box the take a teachers,Harry notices that does the teachers take box the?,Did the teachers take the box when?,kons teachers take box kar,take box kar,kar box is taken by teachers kons,Harry notices that kons teachers take box kar,kons teachers take kar box no,box kar take kons teachers,kons teachers take box kons,the teachers wa the box take o,先生は箱とるを,the box wa the teachers ni to reru take,箱は先生とられるに,Harry wa the teachers ga the box o take notices to,the teachers wa no the box o take nai,先生は箱をとるない,take o box the wa the teachers,とるを箱先生は,the teachers wa the box   to take o-ta
gli insegnanti portano la scatola,portano la scatola,Harry afferma che gli insegnanti portano la scatola,la scatola è portato dagli' insegnanti,gli insegnanti portano la no scatola,scatola la portano insegnanti gli,la insegnanti portano la scatola,the teachers bring a box,Tom notices that the teachers bring the box,a box is brought by the teachers,a teachers bring a doesn't box,box a bring teachers a,Tom notices that does the teachers bring the box?,Did the teachers bring a what box?,kons teachers bring kar box,bring kar box,kar box is brought by kons teachers,Tom notices that kons teachers bring kar box,kons teachers bring kar no box,box kar bring teachers kons,kons teachers bring kons box,the teachers wa a box o bring,先生は箱をもたらす,a box wa the teachers ni to bring reru,箱は先生に持たれる,Tom wa the teachers ga the box o bring to notices,the teachers wa no a box o bring,先生は箱ないをもたらす,bring o box a wa teachers the,もたらすを箱は先生,the teachers wa a box  o-ta  to bring,gli insegnanti portano scatola la,portano scatola la,Harry afferma che gli insegnanti portano scatola la,la scatola è portato insegnanti dagli',gli insegnanti portano la scatola no,scatola la portano gli insegnanti,la insegnanti portano scatola la,the teachers bring box a,Tom notices that the teachers bring box the,a box is brought by teachers the,a teachers bring a box doesn't,box a bring a teachers,Tom notices that does the teachers bring box the?,Did the teachers bring a box what?,kons teachers bring box kar,bring box kar,kar box is brought by teachers kons,Tom notices that kons teachers bring box kar,kons teachers bring kar box no,box kar bring kons teachers,kons teachers bring box kons,the teachers wa a box bring o,先生は箱もたらすを,a box wa the teachers ni to reru bring,箱は先生持たれるに,Tom wa the teachers ga the box o bring notices to,the teachers wa no a box o bring nai,先生は箱をもたらすない,bring o box a wa the teachers,もたらすを箱先生は,the teachers wa a box   to bring o-ta
gli insegnanti portano il cappello,portano il cappello,Harry afferma che gli insegnanti portano il cappello,il cappello è portato dagli' insegnanti,gli insegnanti portano il no cappello,cappello il portano insegnanti gli,il insegnanti portano il cappello,the teachers carry a cap,John sees that the teachers carry the cap,a cap is carried by the teachers,a teachers carry a doesn't cap,cap a carry teachers a,John sees that does the teachers carry the cap?,Did the teachers carry a which cap?,kons teachers carry kon cap,carry kon cap,kon cap is carried by kons teachers,John sees that kons teachers carry kon cap,kons teachers carry kon no cap,cap kon carry teachers kons,kons teachers carry kons cap,the teachers wa a cap o carry,先生は帽子を運ぶ,a cap wa the teachers ni to carry reru,帽子は先生に運ばれる,John wa the teachers ga the cap o carry to sees,the teachers wa no a cap o carry,先生は帽子ないを運ぶ,carry o cap a wa teachers the,運ぶを帽子は先生,the teachers wa a cap  o-ta  to carry,gli insegnanti portano cappello il,portano cappello il,Harry afferma che gli insegnanti portano cappello il,il cappello è portato insegnanti dagli',gli insegnanti portano il cappello no,cappello il portano gli insegnanti,il insegnanti portano cappello il,the teachers carry cap a,John sees that the teachers carry cap the,a cap is carried by teachers the,a teachers carry a cap doesn't,cap a carry a teachers,John sees that does the teachers carry cap the?,Did the teachers carry a cap which?,kons teachers carry cap kon,carry cap kon,kon cap is carried by teachers kons,John sees that kons teachers carry cap kon,kons teachers carry kon cap no,cap kon carry kons teachers,kons teachers carry cap kons,the teachers wa a cap carry o,先生は帽子運ぶを,a cap wa the teachers ni to reru carry,帽子は先生運ばれるに,John wa the teachers ga the cap o carry sees to,the teachers wa no a cap o carry nai,先生は帽子を運ぶない,carry o cap a wa the teachers,運ぶを帽子先生は,the teachers wa a cap   to carry o-ta
gli insegnanti tengono il cappello,tengono il cappello,Gomu osserva che gli insegnanti tengono il cappello,il cappello è tenuto dagli' insegnanti,gli insegnanti tengono il no cappello,cappello il tengono insegnanti gli,il insegnanti tengono il cappello,the teachers hold the cap,John knows that the teachers hold the cap,the cap is held by the teachers,a teachers hold the doesn't cap,cap the hold teachers a,John knows that does the teachers hold the cap?,Did the teachers hold the when cap?,kons teachers hold kon cap,hold kon cap,kon cap is held by kons teachers,John knows that kons teachers hold kon cap,kons teachers hold kon no cap,cap kon hold teachers kons,kons teachers hold kons cap,the teachers wa the cap o hold,先生は帽子を持つ,the cap wa the teachers ni to hold reru,帽子は先生に持たれる,John wa the teachers ga the cap o hold to knows,the teachers wa no the cap o hold,先生は帽子ないを持つ,hold o cap the wa teachers the,持つを帽子は先生,the teachers wa the cap  o-ta  to hold,gli insegnanti tengono cappello il,tengono cappello il,Gomu osserva che gli insegnanti tengono cappello il,il cappello è tenuto insegnanti dagli',gli insegnanti tengono il cappello no,cappello il tengono gli insegnanti,il insegnanti tengono cappello il,the teachers hold cap the,John knows that the teachers hold cap the,the cap is held by teachers the,a teachers hold the cap doesn't,cap the hold a teachers,John knows that does the teachers hold cap the?,Did the teachers hold the cap when?,kons teachers hold cap kon,hold cap kon,kon cap is held by teachers kons,John knows that kons teachers hold cap kon,kons teachers hold kon cap no,cap kon hold kons teachers,kons teachers hold cap kons,the teachers wa the cap hold o,先生は帽子持つを,the cap wa the teachers ni to reru hold,帽子は先生持たれるに,John wa the teachers ga the cap o hold knows to,the teachers wa no the cap o hold nai,先生は帽子を持つない,hold o cap the wa the teachers,持つを帽子先生は,the teachers wa the cap   to hold o-ta
gli insegnanti prendono il cappello,prendono il cappello,Sheela sa che gli insegnanti prendono il cappello,il cappello è preso dagli' insegnanti,gli insegnanti prendono il no cappello,cappello il prendono insegnanti gli,il insegnanti prendono il cappello,the teachers take the cap,Gomu sees that the teachers take the cap,the cap is taken by the teachers,a teachers take the doesn't cap,cap the take teachers a,Gomu sees that does the teachers take the cap?,Did the teachers take the what cap?,kons teachers take kon cap,take kon cap,kon cap is taken by kons teachers,Gomu sees that kons teachers take kon cap,kons teachers take kon no cap,cap kon take teachers kons,kons teachers take kons cap,the teachers wa the cap o take,先生は帽子をとる,the cap wa the teachers ni to take reru,帽子は先生にとられる,Gomu wa the teachers ga the cap o take to sees,the teachers wa no the cap o take,先生は帽子ないをとる,take o cap the wa teachers the,とるを帽子は先生,the teachers wa the cap  o-ta  to take,gli insegnanti prendono cappello il,prendono cappello il,Sheela sa che gli insegnanti prendono cappello il,il cappello è preso insegnanti dagli',gli insegnanti prendono il cappello no,cappello il prendono gli insegnanti,il insegnanti prendono cappello il,the teachers take cap the,Gomu sees that the teachers take cap the,the cap is taken by teachers the,a teachers take the cap doesn't,cap the take a teachers,Gomu sees that does the teachers take cap the?,Did the teachers take the cap what?,kons teachers take cap kon,take cap kon,kon cap is taken by teachers kons,Gomu sees that kons teachers take cap kon,kons teachers take kon cap no,cap kon take kons teachers,kons teachers take cap kons,the teachers wa the cap take o,先生は帽子とるを,the cap wa the teachers ni to reru take,帽子は先生とられるに,Gomu wa the teachers ga the cap o take sees to,the teachers wa no the cap o take nai,先生は帽子をとるない,take o cap the wa the teachers,とるを帽子先生は,the teachers wa the cap   to take o-ta
gli insegnanti portano il cappello,portano il cappello,Leela vede che gli insegnanti portano il cappello,il cappello è portato dagli' insegnanti,gli insegnanti portano il no cappello,cappello il portano insegnanti gli,il insegnanti portano il cappello,the teachers bring the cap,Leela says that the teachers bring the cap,the cap is brought by the teachers,a teachers bring the doesn't cap,cap the bring teachers a,Leela says that does the teachers bring the cap?,Did the teachers bring the which cap?,kons teachers bring kon cap,bring kon cap,kon cap is brought by kons teachers,Leela says that kons teachers bring kon cap,kons teachers bring kon no cap,cap kon bring teachers kons,kons teachers bring kons cap,the teachers wa the cap o bring,先生は帽子をもたらす,the cap wa the teachers ni to bring reru,帽子は先生に持たれる,Leela wa the teachers ga the cap o bring to says,the teachers wa no the cap o bring,先生は帽子ないをもたらす,bring o cap the wa teachers the,もたらすを帽子は先生,the teachers wa the cap  o-ta  to bring,gli insegnanti portano cappello il,portano cappello il,Leela vede che gli insegnanti portano cappello il,il cappello è portato insegnanti dagli',gli insegnanti portano il cappello no,cappello il portano gli insegnanti,il insegnanti portano cappello il,the teachers bring cap the,Leela says that the teachers bring cap the,the cap is brought by teachers the,a teachers bring the cap doesn't,cap the bring a teachers,Leela says that does the teachers bring cap the?,Did the teachers bring the cap which?,kons teachers bring cap kon,bring cap kon,kon cap is brought by teachers kons,Leela says that kons teachers bring cap kon,kons teachers bring kon cap no,cap kon bring kons teachers,kons teachers bring cap kons,the teachers wa the cap bring o,先生は帽子もたらすを,the cap wa the teachers ni to reru bring,帽子は先生持たれるに,Leela wa the teachers ga the cap o bring says to,the teachers wa no the cap o bring nai,先生は帽子をもたらすない,bring o cap the wa the teachers,もたらすを帽子先生は,the teachers wa the cap   to bring o-ta
gli insegnanti portano la lampadina,portano la lampadina,Harry dice che gli insegnanti portano la lampadina,la lampadina è portato dagli' insegnanti,gli insegnanti portano la no lampadina,lampadina la portano insegnanti gli,la insegnanti portano la lampadina,the teachers carry the bulb,Sheela knows that the teachers carry the bulb,the bulb is carried by the teachers,a teachers carry the doesn't bulb,bulb the carry teachers a,Sheela knows that does the teachers carry the bulb?,Did the teachers carry the why bulb?,kons teachers carry kar bulb,carry kar bulb,kar bulb is carried by kons teachers,Sheela knows that kons teachers carry kar bulb,kons teachers carry kar no bulb,bulb kar carry teachers kons,kons teachers carry kons bulb,the teachers wa the bulb o carry,先生は電球を運ぶ,the bulb wa the teachers ni to carry reru,電球は先生に運ばれる,Sheela wa the teachers ga the bulb o carry to knows,the teachers wa no the bulb o carry,先生は電球ないを運ぶ,carry o bulb the wa teachers the,運ぶを電球は先生,the teachers wa the bulb  o-ta  to carry,gli insegnanti portano lampadina la,portano lampadina la,Harry dice che gli insegnanti portano lampadina la,la lampadina è portato insegnanti dagli',gli insegnanti portano la lampadina no,lampadina la portano gli insegnanti,la insegnanti portano lampadina la,the teachers carry bulb the,Sheela knows that the teachers carry bulb the,the bulb is carried by teachers the,a teachers carry the bulb doesn't,bulb the carry a teachers,Sheela knows that does the teachers carry bulb the?,Did the teachers carry the bulb why?,kons teachers carry bulb kar,carry bulb kar,kar bulb is carried by teachers kons,Sheela knows that kons teachers carry bulb kar,kons teachers carry kar bulb no,bulb kar carry kons teachers,kons teachers carry bulb kons,the teachers wa the bulb carry o,先生は電球運ぶを,the bulb wa the teachers ni to reru carry,電球は先生運ばれるに,Sheela wa the teachers ga the bulb o carry knows to,the teachers wa no the bulb o carry nai,先生は電球を運ぶない,carry o bulb the wa the teachers,運ぶを電球先生は,the teachers wa the bulb   to carry o-ta
gli insegnanti tengono la lampadina,tengono la lampadina,Sheela sa che gli insegnanti tengono la lampadina,la lampadina è tenuto dagli' insegnanti,gli insegnanti tengono la no lampadina,lampadina la tengono insegnanti gli,la insegnanti tengono la lampadina,the teachers hold the bulb,Maria notices that the teachers hold the bulb,the bulb is held by the teachers,a teachers hold the doesn't bulb,bulb the hold teachers a,Maria notices that does the teachers hold the bulb?,Did the teachers hold the why bulb?,kons teachers hold kar bulb,hold kar bulb,kar bulb is held by kons teachers,Maria notices that kons teachers hold kar bulb,kons teachers hold kar no bulb,bulb kar hold teachers kons,kons teachers hold kons bulb,the teachers wa the bulb o hold,先生は電球を持つ,the bulb wa the teachers ni to hold reru,電球は先生に持たれる,Maria wa the teachers ga the bulb o hold to notices,the teachers wa no the bulb o hold,先生は電球ないを持つ,hold o bulb the wa teachers the,持つを電球は先生,the teachers wa the bulb  o-ta  to hold,gli insegnanti tengono lampadina la,tengono lampadina la,Sheela sa che gli insegnanti tengono lampadina la,la lampadina è tenuto insegnanti dagli',gli insegnanti tengono la lampadina no,lampadina la tengono gli insegnanti,la insegnanti tengono lampadina la,the teachers hold bulb the,Maria notices that the teachers hold bulb the,the bulb is held by teachers the,a teachers hold the bulb doesn't,bulb the hold a teachers,Maria notices that does the teachers hold bulb the?,Did the teachers hold the bulb why?,kons teachers hold bulb kar,hold bulb kar,kar bulb is held by teachers kons,Maria notices that kons teachers hold bulb kar,kons teachers hold kar bulb no,bulb kar hold kons teachers,kons teachers hold bulb kons,the teachers wa the bulb hold o,先生は電球持つを,the bulb wa the teachers ni to reru hold,電球は先生持たれるに,Maria wa the teachers ga the bulb o hold notices to,the teachers wa no the bulb o hold nai,先生は電球を持つない,hold o bulb the wa the teachers,持つを電球先生は,the teachers wa the bulb   to hold o-ta
gli insegnanti prendono la lampadina,prendono la lampadina,Harry osserva che gli insegnanti prendono la lampadina,la lampadina è preso dagli' insegnanti,gli insegnanti prendono la no lampadina,lampadina la prendono insegnanti gli,la insegnanti prendono la lampadina,the teachers take a bulb,Gomu affirms that the teachers take the bulb,a bulb is taken by the teachers,a teachers take a doesn't bulb,bulb a take teachers a,Gomu affirms that does the teachers take the bulb?,Did the teachers take a why bulb?,kons teachers take kar bulb,take kar bulb,kar bulb is taken by kons teachers,Gomu affirms that kons teachers take kar bulb,kons teachers take kar no bulb,bulb kar take teachers kons,kons teachers take kons bulb,the teachers wa a bulb o take,先生は電球をとる,a bulb wa the teachers ni to take reru,電球は先生にとられる,Gomu wa the teachers ga the bulb o take to affirms,the teachers wa no a bulb o take,先生は電球ないをとる,take o bulb a wa teachers the,とるを電球は先生,the teachers wa a bulb  o-ta  to take,gli insegnanti prendono lampadina la,prendono lampadina la,Harry osserva che gli insegnanti prendono lampadina la,la lampadina è preso insegnanti dagli',gli insegnanti prendono la lampadina no,lampadina la prendono gli insegnanti,la insegnanti prendono lampadina la,the teachers take bulb a,Gomu affirms that the teachers take bulb the,a bulb is taken by teachers the,a teachers take a bulb doesn't,bulb a take a teachers,Gomu affirms that does the teachers take bulb the?,Did the teachers take a bulb why?,kons teachers take bulb kar,take bulb kar,kar bulb is taken by teachers kons,Gomu affirms that kons teachers take bulb kar,kons teachers take kar bulb no,bulb kar take kons teachers,kons teachers take bulb kons,the teachers wa a bulb take o,先生は電球とるを,a bulb wa the teachers ni to reru take,電球は先生とられるに,Gomu wa the teachers ga the bulb o take affirms to,the teachers wa no a bulb o take nai,先生は電球をとるない,take o bulb a wa the teachers,とるを電球先生は,the teachers wa a bulb   to take o-ta
gli insegnanti portano la lampadina,portano la lampadina,Sheela sa che gli insegnanti portano la lampadina,la lampadina è portato dagli' insegnanti,gli insegnanti portano la no lampadina,lampadina la portano insegnanti gli,la insegnanti portano la lampadina,the teachers bring a bulb,Gomu sees that the teachers bring the bulb,a bulb is brought by the teachers,a teachers bring a doesn't bulb,bulb a bring teachers a,Gomu sees that does the teachers bring the bulb?,Did the teachers bring a what bulb?,kons teachers bring kar bulb,bring kar bulb,kar bulb is brought by kons teachers,Gomu sees that kons teachers bring kar bulb,kons teachers bring kar no bulb,bulb kar bring teachers kons,kons teachers bring kons bulb,the teachers wa a bulb o bring,先生は電球をもたらす,a bulb wa the teachers ni to bring reru,電球は先生に持たれる,Gomu wa the teachers ga the bulb o bring to sees,the teachers wa no a bulb o bring,先生は電球ないをもたらす,bring o bulb a wa teachers the,もたらすを電球は先生,the teachers wa a bulb  o-ta  to bring,gli insegnanti portano lampadina la,portano lampadina la,Sheela sa che gli insegnanti portano lampadina la,la lampadina è portato insegnanti dagli',gli insegnanti portano la lampadina no,lampadina la portano gli insegnanti,la insegnanti portano lampadina la,the teachers bring bulb a,Gomu sees that the teachers bring bulb the,a bulb is brought by teachers the,a teachers bring a bulb doesn't,bulb a bring a teachers,Gomu sees that does the teachers bring bulb the?,Did the teachers bring a bulb what?,kons teachers bring bulb kar,bring bulb kar,kar bulb is brought by teachers kons,Gomu sees that kons teachers bring bulb kar,kons teachers bring kar bulb no,bulb kar bring kons teachers,kons teachers bring bulb kons,the teachers wa a bulb bring o,先生は電球もたらすを,a bulb wa the teachers ni to reru bring,電球は先生持たれるに,Gomu wa the teachers ga the bulb o bring sees to,the teachers wa no a bulb o bring nai,先生は電球をもたらすない,bring o bulb a wa the teachers,もたらすを電球先生は,the teachers wa a bulb   to bring o-ta
gli insegnanti portano la tazza,portano la tazza,Sheela afferma che gli insegnanti portano la tazza,la tazza è portato dagli' insegnanti,gli insegnanti portano la no tazza,tazza la portano insegnanti gli,la insegnanti portano la tazza,the teachers carry the cup,Leela affirms that the teachers carry the cup,the cup is carried by the teachers,a teachers carry the doesn't cup,cup the carry teachers a,Leela affirms that does the teachers carry the cup?,Did the teachers carry the when cup?,kons teachers carry kar cup,carry kar cup,kar cup is carried by kons teachers,Leela affirms that kons teachers carry kar cup,kons teachers carry kar no cup,cup kar carry teachers kons,kons teachers carry kons cup,the teachers wa the cup o carry,先生はコップを運ぶ,the cup wa the teachers ni to carry reru,コップは先生に運ばれる,Leela wa the teachers ga the cup o carry to affirms,the teachers wa no the cup o carry,先生はコップないを運ぶ,carry o cup the wa teachers the,運ぶをコップは先生,the teachers wa the cup  o-ta  to carry,gli insegnanti portano tazza la,portano tazza la,Sheela afferma che gli insegnanti portano tazza la,la tazza è portato insegnanti dagli',gli insegnanti portano la tazza no,tazza la portano gli insegnanti,la insegnanti portano tazza la,the teachers carry cup the,Leela affirms that the teachers carry cup the,the cup is carried by teachers the,a teachers carry the cup doesn't,cup the carry a teachers,Leela affirms that does the teachers carry cup the?,Did the teachers carry the cup when?,kons teachers carry cup kar,carry cup kar,kar cup is carried by teachers kons,Leela affirms that kons teachers carry cup kar,kons teachers carry kar cup no,cup kar carry kons teachers,kons teachers carry cup kons,the teachers wa the cup carry o,先生はコップ運ぶを,the cup wa the teachers ni to reru carry,コップは先生運ばれるに,Leela wa the teachers ga the cup o carry affirms to,the teachers wa no the cup o carry nai,先生はコップを運ぶない,carry o cup the wa the teachers,運ぶをコップ先生は,the teachers wa the cup   to carry o-ta
gli insegnanti tengono la tazza,tengono la tazza,Gomu osserva che gli insegnanti tengono la tazza,la tazza è tenuto dagli' insegnanti,gli insegnanti tengono la no tazza,tazza la tengono insegnanti gli,la insegnanti tengono la tazza,the teachers hold a cup,Harry notices that the teachers hold the cup,a cup is held by the teachers,a teachers hold a doesn't cup,cup a hold teachers a,Harry notices that does the teachers hold the cup?,Did the teachers hold a which cup?,kons teachers hold kar cup,hold kar cup,kar cup is held by kons teachers,Harry notices that kons teachers hold kar cup,kons teachers hold kar no cup,cup kar hold teachers kons,kons teachers hold kons cup,the teachers wa a cup o hold,先生はコップを持つ,a cup wa the teachers ni to hold reru,コップは先生に持たれる,Harry wa the teachers ga the cup o hold to notices,the teachers wa no a cup o hold,先生はコップないを持つ,hold o cup a wa teachers the,持つをコップは先生,the teachers wa a cup  o-ta  to hold,gli insegnanti tengono tazza la,tengono tazza la,Gomu osserva che gli insegnanti tengono tazza la,la tazza è tenuto insegnanti dagli',gli insegnanti tengono la tazza no,tazza la tengono gli insegnanti,la insegnanti tengono tazza la,the teachers hold cup a,Harry notices that the teachers hold cup the,a cup is held by teachers the,a teachers hold a cup doesn't,cup a hold a teachers,Harry notices that does the teachers hold cup the?,Did the teachers hold a cup which?,kons teachers hold cup kar,hold cup kar,kar cup is held by teachers kons,Harry notices that kons teachers hold cup kar,kons teachers hold kar cup no,cup kar hold kons teachers,kons teachers hold cup kons,the teachers wa a cup hold o,先生はコップ持つを,a cup wa the teachers ni to reru hold,コップは先生持たれるに,Harry wa the teachers ga the cup o hold notices to,the teachers wa no a cup o hold nai,先生はコップを持つない,hold o cup a wa the teachers,持つをコップ先生は,the teachers wa a cup   to hold o-ta
